 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
09:23 |   113 |     1.000e-04 |     0.7273 |          1.9382 |     1.9382 |            7158
22:09 |   114 |     1.000e-04 |     0.7030 |          2.1595 |     2.1594 |            7158
34:59 |   115 |     1.000e-04 |     0.7209 |          1.0834 |     1.0833 |            7158
47:46 |   116 |     1.000e-04 |     0.7077 |          0.7860 |     0.7860 |            7158
00:30 |   117 |     1.000e-04 |     0.7397 |          1.9810 |     1.9809 |            7158
13:19 |   118 |     1.000e-04 |     0.7106 |          0.6908 |     0.6910 |            7158
26:08 |   119 |     1.000e-04 |     0.7031 |          2.1068 |     2.1068 |            7158
38:57 |   120 |     1.000e-04 |     0.7095 |          1.4639 |     1.4639 |            7158
51:48 |   121 |     1.000e-04 |     0.7128 |          0.9567 |     0.9568 |            7158
04:36 |   122 |     1.000e-04 |     0.6886 |          0.9238 |     0.9238 |            7158
17:24 |   123 |     1.000e-04 |     0.6916 |          1.0946 |     1.0947 |            7187
30:11 |   124 |     1.000e-04 |     0.6947 |          1.6164 |     1.6163 |            7187
42:59 |   125 |     1.000e-04 |     0.6792 |          0.9049 |     0.9050 |            7187
55:51 |   126 |     1.000e-04 |     0.7039 |          0.6267 |     0.6268 |            7187
08:40 |   127 |     1.000e-04 |     0.7001 |          0.9200 |     0.9200 |            7187
21:25 |   128 |     1.000e-04 |     0.6965 |          0.6590 |     0.6590 |            7187
34:15 |   129 |     5.000e-05 |     0.4065 |          0.4502 |     0.4502 |            7187
46:57 |   130 |     5.000e-05 |     0.4025 |          0.5950 |     0.5950 |            7187
59:36 |   131 |     5.000e-05 |     0.3945 |          0.5425 |     0.5425 |            7187
12:24 |   132 |     5.000e-05 |     0.3892 |          0.4856 |     0.4856 |            7187
25:16 |   133 |     5.000e-05 |     0.3896 |          0.7098 |     0.7098 |            7187
38:06 |   134 |     5.000e-05 |     0.3912 |          0.4463 |     0.4464 |            7187
50:51 |   135 |     5.000e-05 |     0.3927 |          0.9200 |     0.9201 |            7187
03:48 |   136 |     5.000e-05 |     0.3923 |          0.4346 |     0.4347 |            7187
16:41 |   137 |     5.000e-05 |     0.3810 |          0.5815 |     0.5817 |            7187
29:20 |   138 |     5.000e-05 |     0.3837 |          0.3681 |     0.3681 |            7187
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
26:28 |   139 |     5.000e-05 |     0.3853 |          0.4380 |     0.4381 |            7063
39:07 |   140 |     5.000e-05 |     0.3823 |          0.4170 |     0.4171 |            7152
51:46 |   141 |     5.000e-05 |     0.3853 |          0.4260 |     0.4260 |            7152
04:20 |   142 |     5.000e-05 |     0.3784 |          0.5831 |     0.5831 |            7152
16:56 |   143 |     5.000e-05 |     0.3758 |          0.5124 |     0.5124 |            7152
29:36 |   144 |     5.000e-05 |     0.3739 |          0.5923 |     0.5924 |            7152
42:21 |   145 |     5.000e-05 |     0.3752 |          0.6875 |     0.6876 |            7152
54:58 |   146 |     5.000e-05 |     0.3696 |          0.4053 |     0.4054 |            7152
07:48 |   147 |     5.000e-05 |     0.3756 |          0.5919 |     0.5920 |            7152
20:28 |   148 |     5.000e-05 |     0.3833 |          0.3954 |     0.3955 |            7152
33:02 |   149 |     5.000e-05 |     0.3788 |          0.4671 |     0.4671 |            7152
45:43 |   150 |     5.000e-05 |     0.3673 |          1.1498 |     1.1498 |            7152
58:25 |   151 |     5.000e-05 |     0.3791 |          0.3695 |     0.3695 |            7152
11:07 |   152 |     5.000e-05 |     0.3757 |          0.3480 |     0.3481 |            7152
23:51 |   153 |     5.000e-05 |     0.3648 |          0.3688 |     0.3688 |            7152
36:31 |   154 |     5.000e-05 |     0.3648 |          1.0672 |     1.0671 |            7152
49:05 |   155 |     5.000e-05 |     0.3661 |          0.5034 |     0.5034 |            7152
01:42 |   156 |     5.000e-05 |     0.3595 |          0.4465 |     0.4465 |            7152
14:33 |   157 |     5.000e-05 |     0.3711 |          0.3608 |     0.3609 |            7152
27:19 |   158 |     5.000e-05 |     0.3649 |          0.7079 |     0.7080 |            7152
40:04 |   159 |     5.000e-05 |     0.3740 |          0.4960 |     0.4961 |            7196
52:46 |   160 |     5.000e-05 |     0.3653 |          1.0497 |     1.0497 |            7196
05:30 |   161 |     5.000e-05 |     0.3703 |          0.3839 |     0.3839 |            7196
18:11 |   162 |     5.000e-05 |     0.3611 |          0.8461 |     0.8462 |            7196
30:51 |   163 |     5.000e-05 |     0.3627 |          0.9917 |     0.9916 |            7196
43:26 |   164 |     5.000e-05 |     0.3579 |          0.3456 |     0.3457 |            7196
56:05 |   165 |     5.000e-05 |     0.3694 |          0.5699 |     0.5700 |            7196
08:38 |   166 |     5.000e-05 |     0.3696 |          0.5318 |     0.5319 |            7196
21:20 |   167 |     5.000e-05 |     0.3614 |          1.0518 |     1.0517 |            7196
34:04 |   168 |     5.000e-05 |     0.3607 |          0.5292 |     0.5293 |            7196
46:45 |   169 |     5.000e-05 |     0.3597 |          0.5922 |     0.5922 |            7196
59:30 |   170 |     5.000e-05 |     0.3566 |          0.6914 |     0.6915 |            7196
12:12 |   171 |     5.000e-05 |     0.3561 |          0.9071 |     0.9071 |            7196
24:58 |   172 |     5.000e-05 |     0.3592 |          0.7059 |     0.7059 |            7196
37:43 |   173 |     5.000e-05 |     0.3638 |          0.3375 |     0.3376 |            7196
50:16 |   174 |     5.000e-05 |     0.3550 |          0.7200 |     0.7201 |            7196
02:58 |   175 |     5.000e-05 |     0.3565 |          1.6093 |     1.6093 |            7196
15:34 |   176 |     5.000e-05 |     0.3602 |          0.6118 |     0.6118 |            7196
28:10 |   177 |     5.000e-05 |     0.3563 |          0.5463 |     0.5463 |            7196
40:54 |   178 |     5.000e-05 |     0.3539 |          1.1628 |     1.1628 |            7196
53:31 |   179 |     5.000e-05 |     0.3557 |          0.8750 |     0.8750 |            7196
06:11 |   180 |     5.000e-05 |     0.3513 |          0.4245 |     0.4246 |            7196
18:54 |   181 |     5.000e-05 |     0.3613 |          0.6124 |     0.6123 |            7196
31:30 |   182 |     5.000e-05 |     0.3483 |          0.6073 |     0.6073 |            7196
44:14 |   183 |     5.000e-05 |     0.3515 |          0.6530 |     0.6530 |            7196
56:54 |   184 |     5.000e-05 |     0.3563 |          0.3771 |     0.3771 |            7196
09:32 |   185 |     5.000e-05 |     0.3506 |          0.6510 |     0.6510 |            7196
22:09 |   186 |     5.000e-05 |     0.3466 |          0.3314 |     0.3314 |            7196
34:47 |   187 |     5.000e-05 |     0.3489 |          0.7747 |     0.7748 |            7196
47:33 |   188 |     5.000e-05 |     0.3484 |          0.4768 |     0.4768 |            7196
00:22 |   189 |     5.000e-05 |     0.3531 |          0.6614 |     0.6614 |            7196
13:09 |   190 |     5.000e-05 |     0.3505 |          0.7183 |     0.7183 |            7196
25:52 |   191 |     5.000e-05 |     0.3500 |          0.3668 |     0.3668 |            7196
